name,size,insert,lookup,delete,checksum
std::map_unordered,2633308,291.160769,83.681700,195.172389,535030528995255
google::dense_hash_map,2633308,74.035441,23.665030,31.823819,535030528995255
ulib::align_hash_map,2633308,79.774717,44.367610,25.354420,535030528995255
tommyds hashdyn,2633308,291.074786,46.711370,120.059101,535030528995255
khash,2633308,87.670140,41.337690,26.249986,535030528995255
libdynamic,2633308,66.846855,19.288410,27.481010,535030528995255
std::map_unordered,2393916,299.715699,82.459490,193.081147,536694700268375
google::dense_hash_map,2393916,76.797687,23.179140,31.285447,536694700268375
ulib::align_hash_map,2393916,82.509198,45.084960,25.015984,536694700268375
tommyds hashdyn,2393916,306.134432,45.419540,120.332477,536694700268375
khash,2393916,90.804219,40.911400,26.049691,536694700268375
libdynamic,2393916,69.974646,18.692680,26.306731,536694700268375
std::map_unordered,2176287,309.448558,81.589760,191.668818,536497486923580
google::dense_hash_map,2176287,80.232013,22.822500,30.944522,536497486923580
ulib::align_hash_map,2176287,86.443782,44.730320,24.847319,536497486923580
tommyds hashdyn,2176287,323.499358,44.610040,121.140854,536497486923580
khash,2176287,95.104002,40.667700,25.643061,536497486923580
libdynamic,2176287,73.716652,18.299270,25.373019,536497486923580
std::map_unordered,1978442,321.139217,80.489600,190.761518,535908037928860
google::dense_hash_map,1978442,62.924158,25.479550,34.012169,535908037928860
ulib::align_hash_map,1978442,64.367093,42.642800,24.511703,535908037928860
tommyds hashdyn,1978442,223.154624,44.816910,108.421222,535908037928860
khash,1978442,70.235959,35.476460,24.894296,535908037928860
libdynamic,1978442,55.154202,20.311540,34.510348,535908037928860
std::map_unordered,1798583,252.690754,84.787440,191.681786,536670774287140
google::dense_hash_map,1798583,63.844156,24.471690,32.817742,536670774287140
ulib::align_hash_map,1798583,66.019231,41.361300,23.870487,536670774287140
tommyds hashdyn,1798583,231.348278,43.682910,108.704939,536670774287140
khash,1798583,72.623125,34.636970,24.341593,536670774287140
libdynamic,1798583,56.396467,19.226810,31.637947,536670774287140
std::map_unordered,1635075,255.821160,83.241210,187.764724,534664081603465
google::dense_hash_map,1635075,65.177947,23.609840,31.842427,534664081603465
ulib::align_hash_map,1635075,67.885430,40.725570,23.309330,534664081603465
tommyds hashdyn,1635075,239.919870,42.551080,108.882460,534664081603465
khash,1635075,75.150526,33.930470,23.902848,534664081603465
libdynamic,1635075,58.069940,18.376010,29.229440,534664081603465
std::map_unordered,1486431,260.167055,81.404980,183.653337,536697209007340
google::dense_hash_map,1486431,67.061527,22.955410,31.075578,536697209007340
ulib::align_hash_map,1486431,71.142742,39.707490,22.977622,536697209007340
tommyds hashdyn,1486431,247.751530,41.598610,108.687453,536697209007340
khash,1486431,78.246322,34.360740,23.675505,536697209007340
libdynamic,1486431,60.296961,17.578140,27.617873,536697209007340
std::map_unordered,1351300,265.807454,79.611530,181.252344,536456751269175
google::dense_hash_map,1351300,69.320790,22.460160,30.478476,536456751269175
ulib::align_hash_map,1351300,72.890565,39.938750,23.297755,536456751269175
tommyds hashdyn,1351300,260.567980,40.458270,109.217004,536456751269175
khash,1351300,81.630095,33.763830,23.949463,536456751269175
libdynamic,1351300,62.985420,17.021320,26.038908,536456751269175
std::map_unordered,1228454,272.383440,78.537630,179.117556,536281916065070
google::dense_hash_map,1228454,71.978080,22.155110,29.989951,536281916065070
ulib::align_hash_map,1228454,76.146411,39.422060,22.610021,536281916065070
tommyds hashdyn,1228454,276.058567,39.861410,109.497375,536281916065070
khash,1228454,85.444813,33.401120,23.221716,536281916065070
libdynamic,1228454,66.160895,16.661680,24.864975,536281916065070
std::map_unordered,1116776,280.686503,77.469070,177.109358,536688752662755
google::dense_hash_map,1116776,74.871625,21.616570,29.539902,536688752662755
ulib::align_hash_map,1116776,80.173953,38.830440,22.359332,536688752662755
tommyds hashdyn,1116776,290.643664,38.906020,109.988431,536688752662755
khash,1116776,89.743303,32.859410,23.029998,536688752662755
libdynamic,1116776,69.615916,16.125350,23.932298,536688752662755
std::map_unordered,1015250,289.943067,76.390550,175.203377,536865760023705
google::dense_hash_map,1015250,58.960233,24.307660,32.469081,536865760023705
ulib::align_hash_map,1015250,59.357251,39.891020,22.740927,536865760023705
tommyds hashdyn,1015250,197.765357,39.256490,97.377340,536865760023705
khash,1015250,65.315000,31.672680,23.050146,536865760023705
libdynamic,1015250,52.146598,18.455500,33.415435,536865760023705
std::map_unordered,922954,300.463930,75.673260,174.472372,534869761019710
google::dense_hash_map,922954,59.993962,23.213220,31.201439,534869761019710
ulib::align_hash_map,922954,61.378757,38.670170,22.083750,534869761019710
tommyds hashdyn,922954,202.225517,38.388010,97.557239,534869761019710
khash,922954,67.751115,30.360140,22.466633,534869761019710
libdynamic,922954,53.543369,17.441990,30.297882,534869761019710
std::map_unordered,839049,231.123092,79.038270,172.365802,537624747078190
google::dense_hash_map,839049,61.095067,22.561940,30.198966,537624747078190
ulib::align_hash_map,839049,63.247794,37.672450,21.602010,537624747078190
tommyds hashdyn,839049,210.667857,37.430130,97.401097,537624747078190
khash,839049,70.205024,29.641150,22.036197,537624747078190
libdynamic,839049,55.087012,16.407390,28.014642,537624747078190
std::map_unordered,762771,233.257411,77.697060,168.961996,536321995021840
google::dense_hash_map,762771,62.607292,21.702510,29.397111,536321995021840
ulib::align_hash_map,762771,65.306357,36.725780,21.162160,536321995021840
tommyds hashdyn,762771,217.513623,36.594710,96.977489,536321995021840
khash,762771,73.497093,29.143930,21.695049,536321995021840
libdynamic,762771,56.978100,15.727490,26.129361,536321995021840
std::map_unordered,693428,236.313316,76.127650,165.695632,537695214059215
google::dense_hash_map,693428,64.544809,21.198970,28.722622,537695214059215
ulib::align_hash_map,693428,68.113357,36.061260,20.945340,537695214059215
tommyds hashdyn,693428,225.825872,36.083170,97.021673,537695214059215
khash,693428,76.938664,28.663010,21.382663,537695214059215
libdynamic,693428,59.582176,15.032990,24.768062,537695214059215
std::map_unordered,630389,240.779834,74.500550,162.650535,537391372310130
google::dense_hash_map,630389,66.901221,20.740440,28.226697,537391372310130
ulib::align_hash_map,630389,71.242390,35.655060,20.604359,537391372310130
tommyds hashdyn,630389,238.919634,34.967170,97.348107,537391372310130
khash,630389,80.525430,27.781910,21.111945,537391372310130
libdynamic,630389,62.336822,14.637280,23.358022,537391372310130
std::map_unordered,573080,246.436967,73.313190,159.610007,537769799505740
google::dense_hash_map,573080,69.244350,20.375040,27.839178,537769799505740
ulib::align_hash_map,573080,74.645503,35.013480,20.439180,537769799505740
tommyds hashdyn,573080,252.349180,34.499520,97.554389,537769799505740
khash,573080,84.735890,27.574910,20.936908,537769799505740
libdynamic,573080,65.434152,14.137990,22.435991,537769799505740
std::map_unordered,520981,253.271394,72.481750,157.970469,538188170869750
google::dense_hash_map,520981,53.236951,22.517980,29.604201,538188170869750
ulib::align_hash_map,520981,54.578265,36.280710,19.392245,538188170869750
tommyds hashdyn,520981,167.658705,35.791370,83.645244,538188170869750
khash,520981,60.098695,27.673960,19.822283,538188170869750
libdynamic,520981,48.068077,16.239580,31.020425,538188170869750
std::map_unordered,473619,261.351430,71.409040,155.978229,537623293653725
